Value,Mandatory QA flags,Cloud/Ocean Flag,Iterations,Atmospheric Opacity,MMD,Emissivity accuracy,LST accuracy,Data quality flag
15,"Pixel not produced due to missing/bad data, user should check data quality flag bits",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Slow convergence,">=3 (Warm, humid air; or cold land)",>0.15 (Most silicate rocks),>0.02 (Poor performance),>2 K (Poor performance),Missing/bad L1B data
37314,"Pixel produced, but cloud detected",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),>0.15 (Most silicate rocks),0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Good quality L1B data
37318,"Pixel produced, but cloud detected",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),>0.15 (Most silicate rocks),0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Missing stripe pixel in bands 1 and 5
37568,"Pixel produced, best quality",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Good quality L1B data
37570,"Pixel produced, but cloud detected",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Good quality L1B data
37574,"Pixel produced, but cloud detected",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Missing stripe pixel in bands 1 and 5
38338,"Pixel produced, but cloud detected",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Good quality L1B data
38342,"Pixel produced, but cloud detected",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Missing stripe pixel in bands 1 and 5
38592,"Pixel produced, best quality",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Good quality L1B data
38594,"Pixel produced, but cloud detected",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Good quality L1B data
38597,"Pixel produced, nominal quality",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Missing stripe pixel in bands 1 and 5
38598,"Pixel produced, but cloud detected",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Missing stripe pixel in bands 1 and 5
39362,"Pixel produced, but cloud detected",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Good quality L1B data
39366,"Pixel produced, but cloud detected",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Missing stripe pixel in bands 1 and 5
39616,"Pixel produced, best quality",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Good quality L1B data
39617,"Pixel produced, nominal quality",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Good quality L1B data
39618,"Pixel produced, but cloud detected",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Good quality L1B data
39621,"Pixel produced, nominal quality",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Missing stripe pixel in bands 1 and 5
39622,"Pixel produced, but cloud detected",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Missing stripe pixel in bands 1 and 5
40386,"Pixel produced, but cloud detected",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Good quality L1B data
40390,"Pixel produced, but cloud detected",Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance),Missing stripe pixel in bands 1 and 5
